Time,Sensor,Signal,Activity
2009-12-16 00:04:36.828001,M011,ON,Other_Activity
2009-12-16 00:04:40.781001,M011,OFF,Other_Activity
2009-12-16 00:04:48.031001,M011,ON,Other_Activity
2009-12-16 00:04:52.375001,M011,OFF,Other_Activity
2009-12-16 00:04:59.593001,M011,ON,Other_Activity
2009-12-16 00:05:03.593001,M011,OFF,Other_Activity
2009-12-16 00:05:05.218001,M011,ON,Other_Activity
2009-12-16 00:05:05.531001,M018,ON,Other_Activity
2009-12-16 00:05:08.500001,M017,ON,Other_Activity
2009-12-16 00:05:09.187001,M011,OFF,Other_Activity
2009-12-16 00:05:09.515001,M018,OFF,Other_Activity
2009-12-16 00:05:11.187001,M018,ON,Other_Activity
2009-12-16 00:05:12.484001,M017,OFF,Other_Activity
2009-12-16 00:05:14.156001,M015,ON,Other_Activity
2009-12-16 00:05:14.781001,M003,ON,Other_Activity
2009-12-16 00:05:15.093001,M018,OFF,Other_Activity
2009-12-16 00:05:18.093001,M015,OFF,Other_Activity
2009-12-16 00:05:18.781001,M003,OFF,Other_Activity
2009-12-16 00:05:40.515001,M015,ON,Other_Activity
2009-12-16 00:05:41.187001,M003,ON,Other_Activity
2009-12-16 00:05:44.796001,M015,OFF,Other_Activity
2009-12-16 00:05:45.125001,M003,OFF,Other_Activity
2009-12-16 00:05:46.125001,M017,ON,Other_Activity
2009-12-16 00:05:47.453001,M018,ON,Other_Activity
2009-12-16 00:05:50.453001,M017,OFF,Other_Activity
2009-12-16 00:05:51.390001,M018,OFF,Other_Activity
2009-12-16 00:05:52.390001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 00:05:56.390001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 00:05:59.328001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 00:06:03.656001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 00:29:49.500001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 00:29:57.046001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 00:29:57.437001,M010,ON,Sleeping_Not_in_Bed
2009-12-16 00:29:57.703001,M010,OFF,Sleeping_Not_in_Bed
2009-12-16 00:47:03.671001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 00:47:07.578001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 01:49:21.671001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 01:49:25.640001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:39:22.234001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:39:26.796001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:39:30.765001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:39:34.765001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:39:52.578001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:39:56.500001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:42:31.906001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:42:35.890001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:42:52.750001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:42:56.656001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:43:13.500001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:43:18.125001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:43:25.703001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:43:29.656001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:43:34.281001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:43:38.265001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:43:53.750001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:43:57.718001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:43:59.359001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:03.359001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:44:05.953001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:09.953001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:44:11.562001,M010,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:12.562001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:16.203001,M010,OFF,Sleeping_Not_in_Bed
2009-12-16 02:44:16.562001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:44:18.500001,M011,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:21.484001,M018,ON,Sleeping_Not_in_Bed
2009-12-16 02:44:22.796001,M011,OFF,Sleeping_Not_in_Bed
2009-12-16 02:44:25.453001,M018,OFF,Other_Activity
2009-12-16 02:44:27.125001,M018,ON,Other_Activity
2009-12-16 02:44:29.750001,M017,ON,Other_Activity
2009-12-16 02:44:31.046001,M018,OFF,Other_Activity
2009-12-16 02:44:34.000001,M017,OFF,Other_Activity
2009-12-16 02:44:35.000001,M008,ON,Other_Activity
2009-12-16 02:44:36.359001,M019,ON,Other_Activity
2009-12-16 02:44:38.953001,M008,OFF,Other_Activity
2009-12-16 02:44:39.625001,M015,ON,Other_Activity
2009-12-16 02:44:39.953001,M004,ON,Other_Activity
2009-12-16 02:44:40.281001,M016,ON,Other_Activity
2009-12-16 02:44:40.640001,M019,OFF,Other_Activity
2009-12-16 02:44:43.921001,M015,OFF,Other_Activity
2009-12-16 02:44:44.281001,M004,OFF,Other_Activity
2009-12-16 02:44:44.578001,M016,OFF,Other_Activity
2009-12-16 02:44:47.218001,M004,ON,Other_Activity
2009-12-16 02:44:51.546001,M004,OFF,Other_Activity
2009-12-16 02:45:05.343001,M004,ON,Other_Activity
2009-12-16 02:45:09.359001,M004,OFF,Other_Activity
2009-12-16 02:45:12.296001,M004,ON,Other_Activity
2009-12-16 02:45:16.250001,M004,OFF,Other_Activity
2009-12-16 02:45:24.484001,M004,ON,Other_Activity
2009-12-16 02:45:28.781001,M004,OFF,Other_Activity
2009-12-16 02:45:30.125001,M004,ON,Other_Activity
2009-12-16 02:45:34.062001,M004,OFF,Other_Activity
2009-12-16 02:45:36.046001,M004,ON,Other_Activity
2009-12-16 02:45:40.343001,M004,OFF,Other_Activity
2009-12-16 02:45:46.593001,M004,ON,Other_Activity
2009-12-16 02:45:50.578001,M004,OFF,Other_Activity
2009-12-16 02:46:37.750001,M004,ON,Other_Activity
2009-12-16 02:46:41.750001,M004,OFF,Other_Activity
2009-12-16 02:46:52.953001,M004,ON,Other_Activity
2009-12-16 02:46:56.890001,M004,OFF,Other_Activity
2009-12-16 02:46:59.546001,M004,ON,Other_Activity
2009-12-16 02:47:00.234001,M016,ON,Other_Activity
2009-12-16 02:47:04.203001,M004,OFF,Other_Activity
2009-12-16 02:47:04.484001,M016,OFF,Other_Activity
2009-12-16 02:47:07.171001,M004,ON,Other_Activity
2009-12-16 02:47:11.453001,M004,OFF,Other_Activity
2009-12-16 02:47:15.734001,M004,ON,Other_Activity
2009-12-16 02:47:16.046001,D032,OPEN,Other_Activity
2009-12-16 02:47:19.671001,M004,OFF,Other_Activity
2009-12-16 02:47:36.515001,M004,ON,Other_Activity
2009-12-16 02:47:40.781001,M004,OFF,Other_Activity
2009-12-16 02:47:45.406001,M004,ON,Other_Activity
2009-12-16 02:47:49.375001,M004,OFF,Other_Activity
2009-12-16 02:47:57.640001,M004,ON,Other_Activity
2009-12-16 02:47:57.937001,D032,CLOSE,Other_Activity
2009-12-16 02:48:01.906001,M004,OFF,Other_Activity
2009-12-16 02:48:05.187001,M004,ON,Other_Activity
2009-12-16 02:48:08.531001,M016,ON,Other_Activity
2009-12-16 02:48:09.531001,M004,OFF,Other_Activity
2009-12-16 02:48:12.453001,M016,OFF,Other_Activity
2009-12-16 02:48:20.375001,M004,ON,Other_Activity
2009-12-16 02:48:22.375001,M008,ON,Other_Activity
2009-12-16 02:48:24.671001,M004,OFF,Other_Activity
2009-12-16 02:48:26.343001,M008,OFF,Other_Activity
2009-12-16 02:48:26.671001,M019,ON,Other_Activity
2009-12-16 02:48:30.281001,M019,OFF,Other_Activity
2009-12-16 02:48:31.265001,M020,ON,Other_Activity
2009-12-16 02:48:35.250001,M020,OFF,Other_Activity
2009-12-16 02:49:08.875001,M020,ON,Other_Activity
2009-12-16 02:49:10.250001,M012,ON,Other_Activity
2009-12-16 02:49:13.171001,M020,OFF,Other_Activity
2009-12-16 02:49:14.500001,M012,OFF,Other_Activity
2009-12-16 02:49:41.546001,M020,ON,Other_Activity
2009-12-16 02:49:42.531001,M019,ON,Other_Activity
2009-12-16 02:49:45.531001,M020,OFF,Other_Activity
2009-12-16 02:49:46.500001,M008,ON,Other_Activity
2009-12-16 02:49:46.843001,M019,OFF,Other_Activity
2009-12-16 02:49:50.781001,M008,OFF,Other_Activity
2009-12-16 02:49:55.734001,M004,ON,Other_Activity
2009-12-16 02:49:59.703001,M004,OFF,Other_Activity
2009-12-16 02:50:01.703001,M004,ON,Other_Activity
2009-12-16 02:50:05.640001,M004,OFF,Other_Activity
2009-12-16 02:50:25.437001,M004,ON,Other_Activity
2009-12-16 02:50:29.437001,M004,OFF,Other_Activity
2009-12-16 02:51:21.234001,D032,OPEN,Other_Activity
2009-12-16 02:51:21.859001,M004,ON,Other_Activity
2009-12-16 02:51:26.171001,M004,OFF,Other_Activity
2009-12-16 02:52:29.171001,M004,ON,Other_Activity
2009-12-16 02:52:32.156001,D032,CLOSE,Other_Activity
2009-12-16 02:52:33.468001,M004,OFF,Other_Activity
2009-12-16 02:52:37.437001,M004,ON,Other_Activity
2009-12-16 02:52:41.421001,M004,OFF,Other_Activity
2009-12-16 02:52:45.031001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:52:46.015001,M016,ON,Bed_Toilet_Transition
2009-12-16 02:52:48.656001,D032,OPEN,Bed_Toilet_Transition
2009-12-16 02:52:49.031001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:52:49.968001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:52:59.531001,M016,ON,Bed_Toilet_Transition
2009-12-16 02:53:03.531001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:53:15.062001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:53:18.718001,D032,CLOSE,Bed_Toilet_Transition
2009-12-16 02:53:19.015001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:53:22.312001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:53:26.265001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:53:27.296001,M016,ON,Bed_Toilet_Transition
2009-12-16 02:53:30.890001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:53:31.250001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:53:35.515001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:53:46.453001,M016,ON,Bed_Toilet_Transition
2009-12-16 02:53:48.062001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:53:50.359001,M016,OFF,Bed_Toilet_Transition
2009-12-16 02:53:52.015001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:53:56.328001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:54:00.250001,M004,OFF,Bed_Toilet_Transition
2009-12-16 02:54:04.234001,M004,ON,Bed_Toilet_Transition
2009-12-16 02:54:06.531001,M016,ON,Bed_Toilet_Transition
