Time,Sensor,Signal,Activity
2010-01-18 00:17:08.187001,M012,ON,Sleeping_in_Bed
2010-01-18 00:17:09.578001,M020,ON,Sleeping_in_Bed
2010-01-18 00:17:12.140001,M012,OFF,Sleeping_in_Bed
2010-01-18 00:17:13.468001,M020,OFF,Sleeping_in_Bed
2010-01-18 00:35:35.312001,M012,ON,Sleeping_in_Bed
2010-01-18 00:35:39.234001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:13:32.812001,M012,ON,Sleeping_in_Bed
2010-01-18 01:13:37.078001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:39:45.906001,M012,ON,Sleeping_in_Bed
2010-01-18 01:39:49.796001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:40:06.296001,M012,ON,Sleeping_in_Bed
2010-01-18 01:40:10.281001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:40:24.500001,M012,ON,Sleeping_in_Bed
2010-01-18 01:40:28.390001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:40:35.703001,M012,ON,Sleeping_in_Bed
2010-01-18 01:40:40.000001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:41:20.203001,M012,ON,Sleeping_in_Bed
2010-01-18 01:41:24.187001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:41:33.375001,M012,ON,Sleeping_in_Bed
2010-01-18 01:41:37.375001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:42:02.500001,M012,ON,Sleeping_in_Bed
2010-01-18 01:42:06.375001,M012,OFF,Sleeping_in_Bed
2010-01-18 01:42:09.109001,M020,ON,Sleeping_in_Bed
2010-01-18 01:42:11.093001,M012,ON,Sleeping_in_Bed
2010-01-18 01:42:13.359001,M020,OFF,Sleeping_in_Bed
2010-01-18 01:42:15.296001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:11:15.296001,M012,ON,Sleeping_in_Bed
2010-01-18 02:11:19.296001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:11:21.578001,M012,ON,Sleeping_in_Bed
2010-01-18 02:11:25.609001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:11:31.203001,M012,ON,Sleeping_in_Bed
2010-01-18 02:11:35.093001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:11:48.281001,M012,ON,Sleeping_in_Bed
2010-01-18 02:11:53.000001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:12:40.125001,M012,ON,Sleeping_in_Bed
2010-01-18 02:12:44.078001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:33:18.218001,M012,ON,Sleeping_in_Bed
2010-01-18 02:33:22.234001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:49:46.890001,M012,ON,Sleeping_in_Bed
2010-01-18 02:49:51.171001,M012,OFF,Sleeping_in_Bed
2010-01-18 02:50:08.671001,M012,ON,Sleeping_in_Bed
2010-01-18 02:50:13.281001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:18:51.781001,M012,ON,Sleeping_in_Bed
2010-01-18 03:18:55.796001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:20:38.359001,M012,ON,Sleeping_in_Bed
2010-01-18 03:20:42.656001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:26:42.656001,M012,ON,Sleeping_in_Bed
2010-01-18 03:26:46.968001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:26:51.578001,M012,ON,Sleeping_in_Bed
2010-01-18 03:26:55.546001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:34:23.328001,M012,ON,Sleeping_in_Bed
2010-01-18 03:34:27.609001,M012,OFF,Sleeping_in_Bed
2010-01-18 03:34:42.531001,M012,ON,Sleeping_in_Bed
2010-01-18 03:34:46.718001,M012,OFF,Sleeping_in_Bed
2010-01-18 04:04:06.531001,M012,ON,Sleeping_in_Bed
2010-01-18 04:04:10.843001,M012,OFF,Sleeping_in_Bed
2010-01-18 04:58:12.593001,M012,ON,Sleeping_in_Bed
2010-01-18 04:58:17.265001,M012,OFF,Sleeping_in_Bed
2010-01-18 05:33:58.859001,M012,ON,Sleeping_in_Bed
2010-01-18 05:34:03.156001,M012,OFF,Sleeping_in_Bed
2010-01-18 05:38:32.328001,M012,ON,Sleeping_in_Bed
2010-01-18 05:38:36.359001,M012,OFF,Sleeping_in_Bed
2010-01-18 05:52:33.781001,M012,ON,Sleeping_in_Bed
2010-01-18 05:52:38.093001,M012,OFF,Sleeping_in_Bed
2010-01-18 05:56:34.062001,M012,ON,Sleeping_in_Bed
2010-01-18 05:56:38.375001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:03:20.937001,M012,ON,Sleeping_in_Bed
2010-01-18 06:03:25.265001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:03:52.250001,M012,ON,Sleeping_in_Bed
2010-01-18 06:03:55.843001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:05:22.312001,M012,ON,Sleeping_in_Bed
2010-01-18 06:05:24.046001,M020,ON,Sleeping_in_Bed
2010-01-18 06:05:26.640001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:05:27.953001,M020,OFF,Sleeping_in_Bed
2010-01-18 06:05:33.218001,M012,ON,Sleeping_in_Bed
2010-01-18 06:05:37.234001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:05:39.531001,M012,ON,Sleeping_in_Bed
2010-01-18 06:05:43.437001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:09:08.734001,M012,ON,Sleeping_in_Bed
2010-01-18 06:09:13.046001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:09:16.921001,M012,ON,Sleeping_in_Bed
2010-01-18 06:09:20.906001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:09:28.531001,M012,ON,Sleeping_in_Bed
2010-01-18 06:09:30.515001,M012,OFF,Sleeping_in_Bed
2010-01-18 06:09:31.140001,M020,ON,Sleeping_in_Bed
