,Time,Sensor,Signal,Activity
0,2010-01-18 00:17:08.187001,M012,ON,Sleeping_in_Bed
1,2010-01-18 00:17:09.578001,M020,ON,Sleeping_in_Bed
2,2010-01-18 00:17:12.140001,M012,OFF,Sleeping_in_Bed
3,2010-01-18 00:17:13.468001,M020,OFF,Sleeping_in_Bed
4,2010-01-18 00:35:35.312001,M012,ON,Sleeping_in_Bed
5,2010-01-18 00:35:39.234001,M012,OFF,Sleeping_in_Bed
6,2010-01-18 01:13:32.812001,M012,ON,Sleeping_in_Bed
7,2010-01-18 01:13:37.078001,M012,OFF,Sleeping_in_Bed
8,2010-01-18 01:39:45.906001,M012,ON,Sleeping_in_Bed
9,2010-01-18 01:39:49.796001,M012,OFF,Sleeping_in_Bed
10,2010-01-18 01:40:06.296001,M012,ON,Sleeping_in_Bed
11,2010-01-18 01:40:10.281001,M012,OFF,Sleeping_in_Bed
12,2010-01-18 01:40:24.500001,M012,ON,Sleeping_in_Bed
13,2010-01-18 01:40:28.390001,M012,OFF,Sleeping_in_Bed
14,2010-01-18 01:40:35.703001,M012,ON,Sleeping_in_Bed
15,2010-01-18 01:40:40.000001,M012,OFF,Sleeping_in_Bed
16,2010-01-18 01:41:20.203001,M012,ON,Sleeping_in_Bed
17,2010-01-18 01:41:24.187001,M012,OFF,Sleeping_in_Bed
18,2010-01-18 01:41:33.375001,M012,ON,Sleeping_in_Bed
19,2010-01-18 01:41:37.375001,M012,OFF,Sleeping_in_Bed
20,2010-01-18 01:42:02.500001,M012,ON,Sleeping_in_Bed
21,2010-01-18 01:42:06.375001,M012,OFF,Sleeping_in_Bed
22,2010-01-18 01:42:09.109001,M020,ON,Sleeping_in_Bed
23,2010-01-18 01:42:11.093001,M012,ON,Sleeping_in_Bed
24,2010-01-18 01:42:13.359001,M020,OFF,Sleeping_in_Bed
25,2010-01-18 01:42:15.296001,M012,OFF,Sleeping_in_Bed
26,2010-01-18 02:11:15.296001,M012,ON,Sleeping_in_Bed
27,2010-01-18 02:11:19.296001,M012,OFF,Sleeping_in_Bed
28,2010-01-18 02:11:21.578001,M012,ON,Sleeping_in_Bed
29,2010-01-18 02:11:25.609001,M012,OFF,Sleeping_in_Bed
30,2010-01-18 02:11:31.203001,M012,ON,Sleeping_in_Bed
31,2010-01-18 02:11:35.093001,M012,OFF,Sleeping_in_Bed
32,2010-01-18 02:11:48.281001,M012,ON,Sleeping_in_Bed
33,2010-01-18 02:11:53.000001,M012,OFF,Sleeping_in_Bed
34,2010-01-18 02:12:40.125001,M012,ON,Sleeping_in_Bed
35,2010-01-18 02:12:44.078001,M012,OFF,Sleeping_in_Bed
36,2010-01-18 02:33:18.218001,M012,ON,Sleeping_in_Bed
37,2010-01-18 02:33:22.234001,M012,OFF,Sleeping_in_Bed
38,2010-01-18 02:49:46.890001,M012,ON,Sleeping_in_Bed
39,2010-01-18 02:49:51.171001,M012,OFF,Sleeping_in_Bed
40,2010-01-18 02:50:08.671001,M012,ON,Sleeping_in_Bed
41,2010-01-18 02:50:13.281001,M012,OFF,Sleeping_in_Bed
42,2010-01-18 03:18:51.781001,M012,ON,Sleeping_in_Bed
43,2010-01-18 03:18:55.796001,M012,OFF,Sleeping_in_Bed
44,2010-01-18 03:20:38.359001,M012,ON,Sleeping_in_Bed
45,2010-01-18 03:20:42.656001,M012,OFF,Sleeping_in_Bed
46,2010-01-18 03:26:42.656001,M012,ON,Sleeping_in_Bed
47,2010-01-18 03:26:46.968001,M012,OFF,Sleeping_in_Bed
48,2010-01-18 03:26:51.578001,M012,ON,Sleeping_in_Bed
49,2010-01-18 03:26:55.546001,M012,OFF,Sleeping_in_Bed
50,2010-01-18 03:34:23.328001,M012,ON,Sleeping_in_Bed
51,2010-01-18 03:34:27.609001,M012,OFF,Sleeping_in_Bed
52,2010-01-18 03:34:42.531001,M012,ON,Sleeping_in_Bed
53,2010-01-18 03:34:46.718001,M012,OFF,Sleeping_in_Bed
54,2010-01-18 04:04:06.531001,M012,ON,Sleeping_in_Bed
55,2010-01-18 04:04:10.843001,M012,OFF,Sleeping_in_Bed
56,2010-01-18 04:58:12.593001,M012,ON,Sleeping_in_Bed
57,2010-01-18 04:58:17.265001,M012,OFF,Sleeping_in_Bed
58,2010-01-18 05:33:58.859001,M012,ON,Sleeping_in_Bed
59,2010-01-18 05:34:03.156001,M012,OFF,Sleeping_in_Bed
60,2010-01-18 05:38:32.328001,M012,ON,Sleeping_in_Bed
61,2010-01-18 05:38:36.359001,M012,OFF,Sleeping_in_Bed
62,2010-01-18 05:52:33.781001,M012,ON,Sleeping_in_Bed
63,2010-01-18 05:52:38.093001,M012,OFF,Sleeping_in_Bed
64,2010-01-18 05:56:34.062001,M012,ON,Sleeping_in_Bed
65,2010-01-18 05:56:38.375001,M012,OFF,Sleeping_in_Bed
66,2010-01-18 06:03:20.937001,M012,ON,Sleeping_in_Bed
67,2010-01-18 06:03:25.265001,M012,OFF,Sleeping_in_Bed
68,2010-01-18 06:03:52.250001,M012,ON,Sleeping_in_Bed
69,2010-01-18 06:03:55.843001,M012,OFF,Sleeping_in_Bed
70,2010-01-18 06:05:22.312001,M012,ON,Sleeping_in_Bed
71,2010-01-18 06:05:24.046001,M020,ON,Sleeping_in_Bed
72,2010-01-18 06:05:26.640001,M012,OFF,Sleeping_in_Bed
73,2010-01-18 06:05:27.953001,M020,OFF,Sleeping_in_Bed
74,2010-01-18 06:05:33.218001,M012,ON,Sleeping_in_Bed
75,2010-01-18 06:05:37.234001,M012,OFF,Sleeping_in_Bed
76,2010-01-18 06:05:39.531001,M012,ON,Sleeping_in_Bed
77,2010-01-18 06:05:43.437001,M012,OFF,Sleeping_in_Bed
78,2010-01-18 06:09:08.734001,M012,ON,Sleeping_in_Bed
79,2010-01-18 06:09:13.046001,M012,OFF,Sleeping_in_Bed
80,2010-01-18 06:09:16.921001,M012,ON,Sleeping_in_Bed
81,2010-01-18 06:09:20.906001,M012,OFF,Sleeping_in_Bed
82,2010-01-18 06:09:28.531001,M012,ON,Sleeping_in_Bed
83,2010-01-18 06:09:30.515001,M012,OFF,Sleeping_in_Bed
84,2010-01-18 06:09:31.140001,M020,ON,Sleeping_in_Bed
85,2010-01-18 06:09:32.843001,M019,ON,Sleeping_in_Bed
86,2010-01-18 06:09:34.109001,M020,OFF,Sleeping_in_Bed
87,2010-01-18 06:09:34.406001,M020,ON,Sleeping_in_Bed
88,2010-01-18 06:09:35.437001,M012,ON,Sleeping_in_Bed
89,2010-01-18 06:09:35.734001,M012,OFF,Sleeping_in_Bed
90,2010-01-18 06:09:36.140001,M020,OFF,Sleeping_in_Bed
91,2010-01-18 06:09:37.140001,M019,OFF,Sleeping_in_Bed
92,2010-01-18 06:09:43.343001,M012,ON,Sleeping_in_Bed
93,2010-01-18 06:09:47.312001,M012,OFF,Sleeping_in_Bed
94,2010-01-18 06:09:48.921001,M012,ON,Sleeping_in_Bed
95,2010-01-18 06:09:52.906001,M012,OFF,Sleeping_in_Bed
96,2010-01-18 06:09:54.640001,M012,ON,Other_Activity
97,2010-01-18 06:09:58.234001,M019,ON,Other_Activity
98,2010-01-18 06:09:58.531001,M012,OFF,Other_Activity
99,2010-01-18 06:09:59.250001,M020,ON,Other_Activity
100,2010-01-18 06:10:00.234001,M012,ON,Other_Activity
101,2010-01-18 06:10:02.546001,M019,OFF,Other_Activity
102,2010-01-18 06:10:03.515001,M020,OFF,Other_Activity
103,2010-01-18 06:10:04.546001,M012,OFF,Other_Activity
104,2010-01-18 06:10:07.125001,M020,ON,Other_Activity
105,2010-01-18 06:10:07.421001,M019,ON,Other_Activity
106,2010-01-18 06:10:15.031001,M019,OFF,Other_Activity
107,2010-01-18 06:10:15.328001,M008,ON,Other_Activity
108,2010-01-18 06:10:16.031001,M020,OFF,Other_Activity
109,2010-01-18 06:10:18.328001,M004,ON,Personal_Hygiene
110,2010-01-18 06:10:19.343001,M008,OFF,Personal_Hygiene
111,2010-01-18 06:10:21.625001,M008,ON,Personal_Hygiene
112,2010-01-18 06:10:22.343001,M004,OFF,Personal_Hygiene
113,2010-01-18 06:10:23.937001,M004,ON,Personal_Hygiene
114,2010-01-18 06:10:24.343001,M016,ON,Personal_Hygiene
115,2010-01-18 06:10:25.937001,M008,OFF,Personal_Hygiene
116,2010-01-18 06:10:27.921001,M004,OFF,Personal_Hygiene
117,2010-01-18 06:10:28.562001,M016,OFF,Personal_Hygiene
118,2010-01-18 06:10:32.234001,M004,ON,Personal_Hygiene
119,2010-01-18 06:10:35.125001,M016,ON,Personal_Hygiene
120,2010-01-18 06:10:36.515001,M004,OFF,Personal_Hygiene
121,2010-01-18 06:10:39.140001,M004,ON,Personal_Hygiene
122,2010-01-18 06:10:39.406001,M016,OFF,Personal_Hygiene
123,2010-01-18 06:10:43.437001,M004,OFF,Personal_Hygiene
124,2010-01-18 06:11:30.625001,M004,ON,Personal_Hygiene
125,2010-01-18 06:11:34.531001,M004,OFF,Personal_Hygiene
126,2010-01-18 06:12:12.234001,M004,ON,Personal_Hygiene
127,2010-01-18 06:12:16.109001,M004,OFF,Personal_Hygiene
128,2010-01-18 06:12:36.312001,M004,ON,Personal_Hygiene
129,2010-01-18 06:12:36.609001,M016,ON,Personal_Hygiene
130,2010-01-18 06:12:40.218001,M004,OFF,Personal_Hygiene
131,2010-01-18 06:12:40.937001,M016,OFF,Personal_Hygiene
132,2010-01-18 06:12:54.125001,M016,ON,Personal_Hygiene
