Time,Signal,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,Bathing,Bed_Toilet_Transition,Eating,Enter_Home,Housekeeping,"Leave_Home,Meal_Preparation",Other_Activity,Personal_Hygiene,Relax,Sleeping_Not_in_Bed,Sleeping_in_Bed,Take_Medicine,Work
0.015436048,0.10305547,-0.0061939233,0.03617391,0.123344235,0.03930281,0.022820655,0.07780599,0.11022995,0.032736022,0.028899992,0.100288756,0.00859316,0.06680234,0.08027135,-0.018009964,0.072963916,0.054499127,0.01969479,0.037517205,-0.069200665,-0.016168827,-0.065955386,0.0603683,-0.029092824,0.08599319,0.035500113,-0.00781449,0.08647448,-0.0046813865,-0.062871955,0.06153322,0.056107502,-0.035229817,0.03227516,0.06914041,0.00039570406,0.15553509,0.09886952,0.0178918,0.1315355,0.08012643,-0.012816631,0.1275926,-0.04333356,-0.020526351,-0.021690454,0.03379148
0.07501111,0.17351662,-0.005090356,0.06304886,0.05239142,0.031148722,0.021013161,-0.0032593657,-0.05697139,0.036952592,-0.015993625,0.06995684,0.030455824,0.020514311,0.02068379,0.048445564,-0.0069441493,0.078407235,0.04739531,-0.045158982,-0.040826596,0.0035206678,0.06432575,0.0019214593,0.043612413,0.05086527,0.11617352,-0.0029051334,-0.006205031,-0.015414449,-0.06693778,0.021158477,-0.0999255,0.06166876,0.07623527,0.046947002,0.07906095,0.019511808,0.06634918,0.0683497,0.062471606,0.0073479833,0.02305236,0.039566394,-0.032118063,-0.029914916,-0.043522496,-0.012411016
-0.024757167,0.047080394,0.0480802,0.0068134093,0.083579145,0.048616055,0.027778056,0.014713487,0.020934049,-0.02442752,0.08637398,0.111749515,0.027227808,0.031056795,0.026104417,0.030802878,0.03794749,0.04331789,-0.04082213,0.072879575,0.004518351,0.08614782,-0.020649722,-0.024561282,0.059077673,0.08451424,0.09591597,0.0013253456,0.0764104,0.04215332,0.061082963,0.07726766,0.06907886,0.008581598,0.115373746,-0.018025601,0.009427502,0.13273928,0.087048836,-0.010470576,0.124631904,0.06897552,0.12843738,-0.09724852,0.050492194,-0.038568247,-0.0039482987,0.039694563
0.19180734,0.123480104,0.04502375,0.042822134,0.13243997,0.019908205,0.047628667,0.096962266,0.12855929,0.16034903,0.13501304,0.094611324,0.102344744,0.2572897,0.09602873,0.09971427,0.1537692,0.1859718,0.09142465,0.16199458,0.093839325,0.18832596,0.12910107,0.1391641,0.1540542,0.12169596,0.12244849,0.038313985,0.10972392,0.016197382,0.23559505,0.09037303,0.14858884,0.040647514,0.11399117,0.09447849,0.108028315,0.18860261,0.19138955,0.07529071,0.167231,0.027213955,0.0955941,0.111156255,0.21311465,0.14590797,0.07009753,0.19235764
-0.031089367,0.038056567,0.015338282,0.06930275,0.05702688,-0.045551114,0.084507085,-0.0136554325,0.06179103,0.06451656,0.116998024,0.100171424,0.039753824,0.10420721,0.116882816,0.016547956,0.09757682,-0.001379977,0.13615978,0.014199893,0.12461117,0.07422452,0.09560181,-0.002959395,0.019794386,0.11624668,0.05578482,-0.0009756474,0.011813767,0.029030759,0.083580926,0.09437194,0.08106017,0.03062431,0.10470209,0.02092027,0.095174715,0.09570802,0.17139252,-0.062337786,0.056839872,0.03446255,0.11436132,0.04621606,0.026858892,0.055497024,0.065045334,0.10068651
0.10536083,0.1540913,0.040374227,-0.055963453,0.029230867,0.039757065,-0.007862786,0.044815872,0.05294545,-0.026154974,-0.08841286,0.059844285,0.021014035,0.10803209,0.08824776,0.11281273,0.028980976,-0.0058578826,-0.008427155,-0.0020494673,0.024898235,0.030019935,0.099513344,0.030592158,-0.048282158,0.09213325,0.057534926,-0.011301014,0.003375737,-0.03393955,0.03957987,-0.07850214,0.0099957865,-0.06668932,0.029351868,-0.030393677,-0.03480245,0.048397254,0.03443256,0.02297392,0.19868572,-0.04608384,0.03200393,0.005961366,0.0903103,-0.056317534,-0.09280041,0.05956433
0.12220936,0.08877649,-0.040088974,-0.054256722,0.039632685,0.10419939,-0.041309133,-0.021195708,0.10298336,-0.03181988,0.06868046,0.06332499,0.088773176,0.13080828,0.09550428,0.060261384,-0.008948914,0.065143526,0.010295782,-0.07813411,0.07081195,0.014038627,0.13397095,0.10972898,-0.09364044,0.14425279,0.05690013,-0.0041528624,-0.054459862,0.033288244,-0.100358516,-0.045050617,0.08990638,0.050273135,0.08291581,-0.037650667,-0.019036725,0.05355052,-0.027242942,0.050031908,0.08709602,0.026245203,0.026870284,0.107127786,0.091000915,-0.097810514,0.018829724,0.11497461
0.13335943,0.08133416,0.10035371,0.11623254,0.088856325,0.065949716,0.046583455,0.118001536,0.08334206,0.13042215,0.14372617,0.06886737,0.107590295,0.16679163,0.14487047,0.023097545,0.13289164,0.1187114,0.10178012,0.12238877,0.16842805,0.04963483,0.13598585,0.19016245,0.22269157,0.14610171,0.12734535,0.12097919,-0.027249629,0.11659576,0.16463654,0.09113341,0.0609881,0.16924642,0.2008966,0.19359884,-0.004287268,0.051795732,0.08619093,0.16706891,0.057650574,0.20905113,0.010424017,0.09517069,0.097073406,0.13877507,0.17862728,0.12515622
-0.053010985,0.091304876,-0.0069587254,0.08966498,0.033121694,0.109813765,0.11152439,0.10748719,0.1056224,0.052568346,-0.029234063,0.03918479,0.053696673,0.07540816,0.065070234,0.098130494,0.044639755,0.03997678,0.05468772,0.06591745,0.0310718,0.18879177,0.038188644,0.07076803,0.081309065,0.0742343,-0.026019784,0.0843094,0.1380276,0.06901511,0.08183427,0.09176329,0.04131159,0.11711651,0.055041276,0.09914782,0.036275875,0.034168296,0.10196219,0.067356266,0.07505767,0.09435791,0.07342948,0.10135595,0.15822865,0.06154327,0.023000792,0.05985362
0.10013815,-0.16790393,-0.017638104,0.0042805537,0.010426172,0.06434993,0.03625472,0.09846146,-0.00861972,0.046975493,0.018953403,0.008691888,0.051548216,0.05300293,-0.07361284,0.012379423,-0.02712405,-0.010643185,-0.038704775,-0.08106624,0.020633414,-0.005646675,0.027247848,0.03463933,0.03270426,0.089079134,-0.07626861,0.047163762,0.0666146,0.062021036,0.034478635,-0.10080356,-0.0540218,-0.032339513,0.04109544,-0.054701827,0.016773392,-0.035591166,-0.05853825,0.03774039,0.031376682,0.071836665,0.099066176,0.010359109,0.04868319,0.07774486,-0.033211563,-0.02306202
0.08407833,-0.02917468,0.078798845,0.04636364,0.010538582,0.017072877,0.08533376,0.067037374,0.007167417,0.044332456,0.099281326,0.026495224,0.055347722,0.07859852,0.042274408,-0.07147079,-0.12324184,0.09294825,0.13676728,-0.010082431,0.08667161,-0.019730734,0.081285514,-0.048130676,0.0705659,-0.04663222,-0.010783576,0.003270279,0.055747293,0.11931247,0.022530755,0.048329584,-0.047273323,-0.008730539,0.070193715,0.000810133,-0.00061411026,-0.033783834,0.016512197,0.0066717877,-0.027702797,0.022038035,-0.05836735,0.040669426,0.0114433225,0.12191238,0.068486825,0.0735838
-0.01667936,0.23600781,0.12877169,0.16822515,-0.051795997,0.017845567,0.08961201,0.08439775,0.17566872,0.062078558,0.088156365,0.053875007,0.16235416,0.024054801,0.055587795,0.051660907,0.10481359,0.09776386,0.15904444,0.12126324,0.078055166,-0.010446927,-0.022142945,0.13235405,0.18129452,-0.006084553,-0.090526335,0.15964764,0.16186802,0.22152784,0.0030794695,0.15899831,0.1971425,0.11170501,0.20993952,0.12317349,0.13455814,0.18264683,0.094604224,0.12212501,0.100279085,0.06300234,-0.022682777,0.07652349,0.034201723,0.19244581,0.19909374,0.09926783
0.110058725,-0.08232847,0.089297004,0.05177481,0.14273237,0.09381368,0.12908514,0.06433165,0.13880941,0.097777754,0.012488757,0.09941637,0.089697495,0.1295552,0.102487564,0.089742094,-0.10178415,0.10813141,0.121410474,0.046704564,0.1435863,0.08411555,0.12789978,0.10651153,0.11405489,0.051725056,0.088496074,0.0024607838,0.07863435,0.05315378,0.11212118,0.081257254,0.06423417,0.10422673,0.07816296,0.0007530858,0.013967245,-0.06596029,0.01875357,0.11188953,0.029511945,0.103638835,0.10461954,0.049583428,0.060660653,-0.025614582,0.0894758,0.057912044
0.09121672,-0.012153977,-0.009319095,-0.018917078,0.0136552565,0.031684898,0.01264002,0.0003634151,0.06205185,0.07904196,0.04391923,-0.05104263,0.14200193,0.13152203,0.07162715,-0.17338492,0.023890018,-0.030390732,0.008209334,-0.034373008,0.008903122,-0.022934042,-0.025465164,0.04970146,0.08345174,0.062187627,-0.02126825,-0.03566128,0.119270556,0.0011231111,-0.005405194,-0.01598354,2.7928501e-05,0.039761763,0.055671964,0.005284256,0.034353603,-0.00026982278,0.088857196,0.06340878,-0.0768062,-0.0033113873,-0.007388971,0.04347661,0.12005116,0.05152967,0.05729936,0.06532882
-0.06496195,-0.030714842,0.11082711,0.033311516,-0.038443644,0.052185312,-0.04157299,0.09113731,0.028597126,0.100201786,0.01536182,0.016900321,0.051836316,0.04623134,0.04790717,-0.18020922,0.020884281,0.098373674,0.061010223,0.013786917,-0.20856382,-0.22644578,-0.023091173,-0.048675228,0.009119283,0.037063196,-0.04831431,-0.020584222,0.05339322,0.10899856,-0.05617526,0.025875472,0.07692974,0.063288055,0.15703814,0.045657333,0.08200991,-0.012943997,0.09485611,0.09205631,-0.088643506,-0.036266346,0.01400052,0.06375558,0.07999274,0.05330558,0.16295162,0.10266279
-0.02945103,0.12744178,0.23608509,0.1115573,0.147933,0.13481615,0.17377658,0.124245144,0.20047116,0.17536795,0.07694396,-0.0063018184,0.075504825,0.19516309,0.13380252,0.058984444,0.01752023,-0.005049029,0.11024168,0.2136073,-0.07618211,0.16737197,0.10796171,0.05131728,0.08467359,0.034294162,0.029899664,0.06368088,0.08104052,0.110464826,0.055925965,0.15687473,0.19316903,0.08488542,0.084182106,0.05724623,0.19152115,0.18243314,0.1480728,0.052033138,0.098886356,-0.04031899,0.16516827,0.055004116,0.09311681,0.17012398,0.08998964,0.14384197
0.049795195,0.041486867,0.047409188,-0.0016978066,0.05837567,0.036381636,0.041986927,0.025406754,0.10009426,0.024216754,0.07345421,0.0700053,0.12372676,0.14812677,0.020784378,-0.0059851413,0.040684976,0.06375284,0.07410435,0.049637828,0.027798994,0.045527678,0.12960468,0.14335199,0.08652699,0.060998354,0.1278143,0.09510555,0.13992648,0.075431935,0.06720252,0.0017180537,0.09555107,0.16158278,0.13997631,0.053640835,0.0697241,0.089657076,0.114592224,0.11885222,0.0035393888,0.052356567,0.038393974,0.13649659,0.057731412,0.010463008,0.19095318,0.10868655
0.058582008,0.10311099,0.008642245,-0.060990505,0.037405632,0.029927066,-0.013768558,0.025050465,-0.018516447,-0.020693935,0.0100802155,0.08828558,0.13604267,0.07335471,0.11833745,-0.0060031447,0.0016222767,0.058331296,-0.011948119,-0.024381759,-0.026495539,0.06992323,-0.014110454,0.09976288,0.063290946,-0.05247362,-0.02301537,0.012942808,0.029879278,0.115352675,0.086532354,-0.01738856,-0.04905081,-0.06051225,0.09474346,-0.082885094,0.09711962,-0.045938645,-0.0133436965,0.11353534,0.08612881,0.00820179,-0.039403714,0.014046001,0.14007172,-0.043364346,-0.014810423,-0.009172934
0.089165345,0.10758896,0.10827824,0.034124598,0.12165862,0.12575814,0.01877569,0.055345252,0.07948436,0.05336602,0.023574837,0.08806046,0.0226966,0.028113607,0.025002643,-0.020335102,0.023408996,0.068563394,0.029442031,0.09343805,-0.07632579,0.07860092,-0.065749235,0.14271303,0.023066884,0.099575885,-0.10226589,-0.008708308,-0.04116673,0.2074454,0.06104051,0.0339912,0.007543901,-0.043105636,0.035024304,-0.006296238,0.06851514,0.01643362,0.014984516,0.046661355,0.116730355,-0.05783542,0.074713804,-0.0012002655,0.029959727,-0.05113155,-0.04630295,0.08977148
0.02048842,0.050743043,0.2199158,0.013788842,0.07261178,0.17688014,0.15695158,0.15443283,0.16759385,0.091067255,0.17120497,0.050094437,0.111978926,0.13943408,0.06082511,0.12674686,0.0413127,0.17611045,0.19723463,0.12116372,-0.01971483,0.16825621,-0.005332702,0.0933435,0.16044463,0.09492291,0.013529655,0.15352458,0.1335833,0.2393161,0.17767662,0.09580213,0.14752993,0.17972848,0.14384441,0.08901438,0.067912765,0.09577121,0.29382572,0.14897157,0.12590721,0.013782882,0.24908224,0.18315284,-0.0149163315,0.17037743,0.10780556,0.15002118
0.122388795,0.09744193,0.09516426,0.012440311,0.08362007,0.094346344,-0.009264972,0.059859883,0.103866495,-0.038447514,0.06897427,0.08082357,0.08491449,0.018660508,0.019854298,0.020234086,0.057170246,-0.005115574,0.034745336,0.07571017,0.12693146,0.10552889,0.103234485,0.062279023,0.07489893,0.00982238,-0.0041074664,0.04359842,0.04991909,0.11846701,0.04526034,0.0512744,0.0847345,0.10990484,0.073437095,0.109287985,0.076122105,0.08667545,0.0024485071,-0.02826012,0.07535604,0.08276719,0.11190868,0.080692895,0.19313167,0.06276802,-0.0015748352,0.057045996
-0.047276914,0.012173967,-0.095496826,-0.012465943,0.1148601,0.06530228,-0.0058669285,-0.010522994,-0.036841232,0.0051730634,0.0371393,0.064981274,0.03958424,0.06708962,0.01749163,-0.038503107,0.0025334097,0.073933996,-0.027341107,0.07179126,-0.15908682,0.06422361,-0.017008528,0.072464496,0.028009698,0.030399578,-0.00949293,0.039342064,-0.0002466403,0.019348614,0.06887246,-0.04491943,0.037624363,0.029969858,0.017285207,-0.00452408,-0.087404385,-0.056397393,0.0134565225,0.034215193,-0.001999068,-0.05869085,0.0006202756,-0.11454066,0.10281789,-0.064393185,0.008062229,-0.019399099
-0.06693312,0.017243667,-0.002695889,0.118827015,-0.0031351584,-0.052799776,0.030725762,0.03955628,0.038257428,0.060857505,0.005068776,-0.05973904,0.028171672,-0.037265453,-0.0356035,-0.010914238,0.047516204,0.13310581,-0.038592454,-0.011733551,-0.122805215,0.058607716,0.0008196084,0.08697572,-0.034126624,0.1200761,0.032853283,0.044778462,0.06757617,0.046515852,0.09380062,0.015172946,0.08530557,0.05534549,0.04898558,-0.05368635,-0.047479197,0.017506218,0.02687967,0.0894074,0.041345187,0.02985697,0.08480767,0.06807444,-0.022751423,-0.07850038,0.028037027,0.04511664
0.18102638,0.0895816,0.29685894,0.08939012,0.052776575,0.12875544,0.2101496,0.10400358,0.2090719,0.18535022,0.107062265,0.12924288,0.2072048,0.115230665,0.12316647,0.24877647,0.072211266,0.27391562,0.13907611,0.13292755,0.13470447,0.056624938,0.04921561,0.16572282,0.13948928,0.14976545,0.1245798,0.15347166,0.15101643,0.17297895,0.118536256,0.16045995,0.14331691,0.18244117,-0.0044672005,0.0074460725,0.124436,0.15414323,0.05377411,0.12019245,0.20243852,0.11231987,0.124488376,0.017309606,0.035632957,0.11433048,0.13722907,0.058246072
-0.023726491,-0.021563454,-0.031165866,0.1251177,-0.06103578,0.014614263,0.11200267,0.06693863,0.04332149,0.13505645,0.11146989,-0.00017701834,0.0122769475,-0.012695461,-0.0013603559,0.03652169,0.015276571,0.11130463,0.025605766,0.047221452,-0.085934654,0.10942762,0.08008231,0.053680338,0.045217313,0.08054863,0.10667323,-0.03605278,0.028742721,0.08972435,0.060206015,0.048627216,0.038755327,0.05289504,0.12184675,0.14138268,0.017716363,0.09246752,0.15706715,0.07273212,0.03559518,0.053660147,-0.00013325736,0.075902924,0.087859236,0.08405161,0.023650896,0.05081232
